ID,Name,Elo
773,Miami (FL),537.2846960677266
774,Texas-Rio Grande Valley,318.16315430525634
775,Tennessee State,445.19922759465527
776,Loyola (MD),328.1493525494995
777,Millsaps,394.1941391084669
778,Loyola (IL),392.8746832036585
779,Texas-San Antonio,268.4058299903727
780,Loyola Marymount,389.8145210416846
781,Cal State Fullerton,335.0176838183948
782,Georgia State,398.511941231208
783,Middle Georgia State,383.7424139679276
784,Georgia Southern,384.9787045985756
785,Massachusetts Institute of Technology,394.1287953482649
786,Portland State,373.1898982761196
787,Fresno State,516.3485157164796
788,George Washington,480.3885299913701
789,Illinois-Chicago,293.172222213629
790,Texas Lutheran,385.378058322544
791,Eastern Illinois,378.0202003107714
792,Gardner-Webb,406.0967446626239
793,Indiana State,397.3954245432383
794,Montana State,381.4480021835822
795,Idaho State,401.70520637875575
796,Great Falls,361.1137162967578
797,Oregon State,468.8953501673317
798,Northwest Christian,392.0
799,Penn State,420.0307052149691
800,Virginia Military Institute,327.1378052276707
801,Norfolk State,406.8903890913725
802,San Jose State,329.7742896856412
803,Mississippi Valley State,285.9414956868225
804,North Carolina-Greensboro,390.4648955705059
805,Hawaii-Hilo,385.6249124671225
806,Florida Gulf Coast,442.4357808606898
807,Colorado State,417.3635822640472
808,Alabama State,373.1173958001019
809,Central Arkansas,314.10239108372417
810,Western Kentucky,423.5119349418613
811,Campbellsville,392.0
812,Merchant Marine Academy,393.5220691919557
813,Southern Methodist,526.8300433402046
814,Sam Houston State,422.40145227612834
815,Texas-El Paso,421.91748332068425
816,Loyola (LA),367.9856790568665
817,West Virginia Tech,393.1068845180877
818,Texas-Arlington,465.1788255219611
819,Cal State Bakersfield,498.89906896038025
820,San Diego Christian,361.327173093804
821,UC-Riverside,363.35470465798136
822,William Jessup,392.0
823,Central Florida,360.1630674540886
824,Western Michigan,374.2455297078173
825,Arkansas-Little Rock,537.0271083179364
826,Central Baptist,384.1071172388595
827,Cleveland State,329.3412054433901
828,Appalachian State,330.3123961594096
829,St. Francis (NY),387.7091451824201
830,Bowling Green State,394.5711984203086
831,Long Beach State,463.6217718532545
832,Brigham Young-Hawaii,392.0
833,Mid-Atlantic Christian,379.3111747999151
834,Southern Mississippi,320.66113331112683
835,Kent State,440.2577407061959
836,Youngstown State,347.57073499883614
837,East Tennessee State,485.0247387291874
838,Baptist Bible (PA),380.2906956051201
839,Saint Louis,354.49614463612073
840,Ohio State,474.66248620063607
841,Hannibal-LaGrange,373.6581173442376
842,George Fox,391.8158257405153
